City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Oranjemund,NA,2022-04-04 21:28:59,-28.55,16.4333,60.12,88,0,3.91
95,Lagoa,PT,2022-04-04 21:29:00,39.05,-27.9833,59.05,69,100,6.33
96,Port Elizabeth,ZA,2022-04-04 21:28:47,-33.918,25.5701,62.1,81,0,8.05
97,Petropavlovsk-Kamchatskiy,RU,2022-04-04 21:29:00,53.0452,158.6483,23.59,68,0,6.71
98,Shakiso,ET,2022-04-04 21:29:00,5.75,38.9167,61.65,55,53,3.94
99,Norman Wells,CA,2022-04-04 21:29:01,65.282,-126.8329,1.44,55,40,6.91
100,Qaanaaq,GL,2022-04-04 21:29:01,77.484,-69.3632,23.41,74,100,7.16
101,Pacific Grove,US,2022-04-04 21:26:41,36.6177,-121.9166,69.48,72,0,8.05
102,Beloha,MG,2022-04-04 21:29:02,-25.1667,45.05,73.22,86,0,10.13
103,Itarema,BR,2022-04-04 21:29:02,-2.9248,-39.9167,78.48,86,81,9.62
104,Souillac,MU,2022-04-04 21:29:02,-20.5167,57.5167,79.18,89,75,9.22
105,Axim,GH,2022-04-04 21:29:03,4.8699,-2.2405,81.81,82,96,10.04
106,Ostrovnoy,RU,2022-04-04 21:29:03,68.0531,39.5131,14.83,91,90,9.98
107,Vanimo,PG,2022-04-04 21:29:04,-2.6741,141.3028,77.04,89,100,5.21
108,Carnarvon,AU,2022-04-04 21:29:04,-24.8667,113.6333,69.87,88,0,11.5
109,Puerto Escondido,MX,2022-04-04 21:29:04,15.85,-97.0667,86.68,53,0,12.28
110,Yeppoon,AU,2022-04-04 21:29:05,-23.1333,150.7333,71.38,83,59,8.37
111,Ahipara,NZ,2022-04-04 21:29:05,-35.1667,173.1667,68.25,83,89,6.49
112,Hermanus,ZA,2022-04-04 21:29:05,-34.4187,19.2345,62.11,83,11,11.81
113,Grand Gaube,MU,2022-04-04 21:29:06,-20.0064,57.6608,79.38,84,100,4.0
114,Sitka,US,2022-04-04 21:29:06,57.0531,-135.33,42.69,75,20,10.36
115,Vila Franca Do Campo,PT,2022-04-04 21:29:06,37.7167,-25.4333,55.81,67,92,4.56
116,Pevek,RU,2022-04-04 21:29:07,69.7008,170.3133,-16.89,96,32,3.53
117,Eureka,US,2022-04-04 21:28:08,40.8021,-124.1637,56.68,94,100,4.0
118,Pisco,PE,2022-04-04 21:24:54,-13.7,-76.2167,73.45,68,0,9.22
119,Bredasdorp,ZA,2022-04-04 21:29:08,-34.5322,20.0403,62.37,75,9,11.14
120,Clyde River,CA,2022-04-04 21:29:08,70.4692,-68.5914,12.43,92,20,2.3
121,Nushki,PK,2022-04-04 21:29:08,29.5542,66.0215,74.55,10,13,6.49
122,Atuona,PF,2022-04-04 21:29:09,-9.8,-139.0333,79.68,75,10,22.84
123,Husavik,IS,2022-04-04 21:29:09,66.0449,-17.3389,22.89,89,100,6.31
124,Upernavik,GL,2022-04-04 21:29:10,72.7868,-56.1549,27.21,75,100,1.34
125,Keetmanshoop,NA,2022-04-04 21:29:10,-26.5833,18.1333,59.92,47,0,4.61
126,Mahebourg,MU,2022-04-04 21:29:10,-20.4081,57.7,79.25,89,75,9.22
127,Mnogovershinnyy,RU,2022-04-04 21:29:11,53.9353,139.9242,15.49,85,28,2.84
128,Miles City,US,2022-04-04 21:29:11,46.4083,-105.8406,61.77,25,75,28.77
129,Lorengau,PG,2022-04-04 21:29:12,-2.0226,147.2712,82.0,79,100,15.3
130,Castro,BR,2022-04-04 21:29:12,-24.7911,-50.0119,66.54,96,100,8.16
131,Severnoye,RU,2022-04-04 21:29:12,56.3491,78.3619,34.77,85,99,8.59
132,Longyearbyen,SJ,2022-04-04 21:29:13,78.2186,15.6401,10.24,56,11,20.71
133,East London,ZA,2022-04-04 21:28:22,-33.0153,27.9116,66.43,82,55,10.83
134,Tukrah,LY,2022-04-04 21:29:13,32.5341,20.5791,74.26,26,33,11.88
135,Yarqa,JO,2022-04-04 21:29:14,31.9785,35.6947,68.05,24,12,5.77
136,Barreiras,BR,2022-04-04 21:30:14,-12.1528,-44.99,79.21,46,12,4.5
137,Superior,US,2022-04-04 21:30:15,46.7208,-92.1041,43.45,86,100,5.75
138,North Vanlaiphai,IN,2022-04-04 21:30:15,23.1333,93.0667,55.94,98,15,2.17
139,Ulaangom,MN,2022-04-04 21:30:15,49.9811,92.0667,23.52,92,99,2.21
140,Weyburn,CA,2022-04-04 21:30:16,49.6668,-103.8511,61.02,23,17,18.41
141,Bethel,US,2022-04-04 21:30:16,41.3712,-73.414,55.49,43,0,9.22
142,Kerchevskiy,RU,2022-04-04 21:30:17,59.946,56.2884,24.98,96,100,9.57
143,Klaksvik,FO,2022-04-04 21:30:17,62.2266,-6.589,32.92,61,100,16.02
144,Bambous Virieux,MU,2022-04-04 21:30:18,-20.3428,57.7575,79.21,89,75,9.22
145,Flin Flon,CA,2022-04-04 21:30:18,54.7682,-101.865,42.64,52,20,12.66
146,San Patricio,US,2022-04-04 21:30:18,28.017,-97.5169,86.09,60,77,18.34
147,Alamogordo,US,2022-04-04 21:30:19,32.8995,-105.9603,75.22,17,0,5.75
148,Gol,NO,2022-04-04 21:30:19,60.7014,8.9457,15.78,89,75,4.16
149,Ferkessedougou,CI,2022-04-04 21:30:19,9.6,-5.2,83.07,55,74,4.03
150,Yulara,AU,2022-04-04 21:30:20,-25.2406,130.9889,60.64,31,3,5.75
151,Vestmannaeyjar,IS,2022-04-04 21:30:20,63.4427,-20.2734,36.99,76,100,24.79
152,Baker City,US,2022-04-04 21:30:21,44.7749,-117.8344,51.6,71,100,6.91
153,Airai,TL,2022-04-04 21:30:21,-8.9266,125.4092,58.06,89,41,1.52
154,Yellowknife,CA,2022-04-04 21:27:11,62.456,-114.3525,39.72,48,40,12.66
155,San Rafael,AR,2022-04-04 21:27:59,-34.6177,-68.3301,76.28,16,0,13.8
156,Bismarck,US,2022-04-04 21:30:14,46.8083,-100.7837,55.65,44,0,24.16
157,Werda,BW,2022-04-04 21:30:22,-25.2667,23.2833,67.08,38,0,7.47
158,Thompson,CA,2022-04-04 21:30:22,55.7435,-97.8558,42.96,39,20,4.61
159,Alofi,NU,2022-04-04 21:30:23,-19.0595,-169.9187,78.69,83,100,3.44
160,Rincon,US,2022-04-04 21:30:02,32.296,-81.2354,79.86,29,20,12.66
161,Hithadhoo,MV,2022-04-04 21:30:23,-0.6,73.0833,82.62,69,30,2.86
162,Traverse City,US,2022-04-04 21:28:12,44.7631,-85.6206,39.83,93,100,6.91
163,Salto,UY,2022-04-04 21:29:09,-31.3833,-57.9667,71.87,65,46,5.99
164,Avarua,CK,2022-04-04 21:30:24,-21.2078,-159.775,84.25,74,100,5.75
165,Sagarejo,GE,2022-04-04 21:30:24,41.734,45.3315,43.23,60,100,6.82
166,Esperance,AU,2022-04-04 21:30:25,-33.8667,121.9,57.04,76,84,15.21
167,Koumac,NC,2022-04-04 21:30:25,-20.5667,164.2833,79.3,84,100,11.86
168,Talnakh,RU,2022-04-04 21:30:25,69.4865,88.3972,-3.84,90,64,8.66
169,Alekseyevka,RU,2022-04-04 21:29:11,50.6309,38.6903,33.24,79,82,7.45
