City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
328,Novovasylivka,46.8315,35.7536,47.66,81,76,11.79,UA,broken clouds,2022-04-07 22:21:52
329,Port Lincoln,-34.7333,135.8667,61.81,86,10,6.38,AU,clear sky,2022-04-07 22:19:02
330,Aksha,50.2814,113.2867,36.68,75,20,11.12,RU,few clouds,2022-04-07 22:21:52
331,La Ronge,55.1001,-105.2842,43.05,52,40,8.05,CA,scattered clouds,2022-04-07 22:21:52
332,Bubaque,11.2833,-15.8333,76.55,78,29,16.15,GW,scattered clouds,2022-04-07 22:21:53
333,Lilongwe,-13.9669,33.7873,65.25,96,100,2.26,MW,light rain,2022-04-07 22:21:00
334,Seoul,37.5683,126.9778,44.04,87,0,3.44,KR,clear sky,2022-04-07 22:18:37
335,Singapore,1.2897,103.8501,77.09,94,75,2.3,SG,broken clouds,2022-04-07 22:21:53
336,Panzhihua,26.5851,101.7128,57.22,66,31,0.78,CN,scattered clouds,2022-04-07 22:21:54
337,Tselinnoye,53.0833,85.6667,34.43,82,100,4.97,RU,overcast clouds,2022-04-07 22:21:54
338,Arlit,18.7369,7.3853,87.21,6,1,6.58,NE,clear sky,2022-04-07 22:21:55
339,Bontang,0.1333,117.5,75.6,90,79,7.67,ID,broken clouds,2022-04-07 22:21:55
340,San Angelo,31.4638,-100.437,73.89,10,0,9.22,US,clear sky,2022-04-07 22:18:27
341,Guerrero Negro,27.9769,-114.0611,83.19,26,4,13.94,MX,clear sky,2022-04-07 22:19:53
342,Kysyl-Syr,63.8986,122.7617,-1.7,100,100,4.59,RU,overcast clouds,2022-04-07 22:21:56
343,Fare,-16.7,-151.0167,81.75,76,11,18.05,PF,light rain,2022-04-07 22:21:56
344,Yankton,42.8711,-97.3973,37.65,70,100,34.52,US,overcast clouds,2022-04-07 22:21:56
345,Plouzane,48.3833,-4.6167,48.38,84,100,5.75,FR,moderate rain,2022-04-07 22:21:57
346,Aksu,41.1231,80.2644,63.68,19,56,4.34,CN,broken clouds,2022-04-07 22:21:57
347,Pacifica,37.6138,-122.4869,92.73,31,75,6.91,US,broken clouds,2022-04-07 22:21:58
348,Diamantino,-14.4086,-56.4461,82.09,64,59,1.61,BR,broken clouds,2022-04-07 22:21:58
349,Ondjiva,-17.0667,15.7333,75.69,46,73,1.72,AO,broken clouds,2022-04-07 22:21:58
350,Tura,25.5198,90.2201,70.23,80,10,3.87,IN,clear sky,2022-04-07 22:21:54
351,Raga,8.4596,25.678,74.91,60,39,4.07,SS,scattered clouds,2022-04-07 22:21:59
352,Sylvania,41.7189,-83.713,48.96,60,100,12.66,US,overcast clouds,2022-04-07 22:21:59
353,Termoli,41.9888,14.9895,51.57,86,87,9.31,IT,overcast clouds,2022-04-07 22:18:01
354,Poya,-21.35,165.15,81.73,78,100,10.33,NC,overcast clouds,2022-04-07 22:22:00
355,Fayaoue,-20.65,166.5333,81.28,84,92,28.3,NC,overcast clouds,2022-04-07 22:22:00
356,College,64.8569,-147.8028,42.75,45,40,4.61,US,scattered clouds,2022-04-07 22:17:15
357,Alice Springs,-23.7,133.8833,54.95,62,0,4.61,AU,clear sky,2022-04-07 22:21:26
358,Touros,-5.1989,-35.4608,80.15,80,53,10.87,BR,broken clouds,2022-04-07 22:20:28
359,Dauphin,51.1494,-100.0502,42.94,45,0,21.85,CA,clear sky,2022-04-07 22:22:01
360,Matagami,49.7502,-77.6328,33.91,100,100,8.05,CA,light rain,2022-04-07 22:22:01
361,Smolenka,52.1352,113.4974,39.27,52,70,13.42,RU,broken clouds,2022-04-07 22:22:02
362,Omsukchan,62.5333,155.8,14.41,77,100,5.37,RU,overcast clouds,2022-04-07 22:23:02
363,Katsuura,35.1333,140.3,55.51,82,0,9.89,JP,clear sky,2022-04-07 22:23:02
364,Clyde River,70.4692,-68.5914,8.83,78,100,11.5,CA,light snow,2022-04-07 22:23:03
365,Bairiki,1.3292,172.9752,84.2,74,75,8.05,KI,broken clouds,2022-04-07 22:23:03
366,Bacolod,10.6667,122.95,76.69,89,100,10.63,PH,moderate rain,2022-04-07 22:23:04
367,Codrington,-38.2667,141.9667,56.8,87,5,6.6,AU,clear sky,2022-04-07 22:23:04
368,Pareora,-44.4871,171.2132,57.18,66,2,8.63,NZ,clear sky,2022-04-07 22:23:04
369,Saint-Pierre,-21.3393,55.4781,76.91,83,40,4.61,RE,scattered clouds,2022-04-07 22:23:05
370,Akdepe,42.0551,59.3788,62.69,34,92,6.49,TM,overcast clouds,2022-04-07 22:23:05
371,Wanning,18.8003,110.3967,66.38,85,80,6.33,CN,broken clouds,2022-04-07 22:23:06
372,Kavaratti,10.5669,72.642,83.07,73,55,6.67,IN,broken clouds,2022-04-07 22:23:06
373,Venado Tuerto,-33.7456,-61.9688,74.77,49,17,8.63,AR,few clouds,2022-04-07 22:23:07
374,Fort Nelson,58.8053,-122.7002,47.79,23,100,2.3,CA,overcast clouds,2022-04-07 22:23:07
375,Kichmengskiy Gorodok,59.9816,45.7854,28.51,93,100,6.55,RU,overcast clouds,2022-04-07 22:23:07
376,Porto Velho,-8.7619,-63.9039,78.85,94,40,1.14,BR,light rain,2022-04-07 22:23:08
377,Klaksvik,62.2266,-6.589,34.72,69,100,33.29,FO,light snow,2022-04-07 22:23:08
378,Berzasca,44.6476,21.9526,47.97,95,92,4.97,RO,overcast clouds,2022-04-07 22:23:09
379,Tevaitoa,-16.7833,-151.5,81.63,76,11,19.33,PF,light rain,2022-04-07 22:23:09
380,Tilichiki,60.4667,166.1,13.5,93,100,6.89,RU,overcast clouds,2022-04-07 22:23:09
381,Kontagora,10.3999,5.4695,89.11,32,82,4.12,NG,broken clouds,2022-04-07 22:23:10
382,Carson City,39.1638,-119.7674,77.9,16,0,12.66,US,clear sky,2022-04-07 22:23:10
383,Helsinki,60.1695,24.9355,38.1,95,100,11.5,FI,fog,2022-04-07 22:23:11
384,Cockburn Town,21.4612,-71.1419,78.49,76,1,19.51,TC,clear sky,2022-04-07 22:22:30
385,Griffith,41.5284,-87.4237,43.29,72,100,20.71,US,light intensity drizzle,2022-04-07 22:23:11
386,Arona,28.0996,-16.681,58.12,63,20,17.27,ES,few clouds,2022-04-07 22:23:11
387,Plettenberg Bay,-34.0527,23.3716,56.53,74,56,5.28,ZA,broken clouds,2022-04-07 22:23:12
388,Ketchikan,55.3422,-131.6461,46.87,71,75,8.05,US,broken clouds,2022-04-07 22:23:12
389,Broome,42.2506,-75.833,48.45,83,100,1.99,US,light rain,2022-04-07 22:23:05
390,Kanash,55.5086,47.4956,35.35,100,100,10.76,RU,light rain,2022-04-07 22:23:13
391,Trinidad,-14.8333,-64.9,91.38,58,40,3.44,BO,scattered clouds,2022-04-07 22:23:13
392,Dongying,37.4564,118.4856,56.66,66,0,5.79,CN,clear sky,2022-04-07 22:23:13
393,Buchanan,5.8808,-10.0467,77.97,84,97,4.9,LR,overcast clouds,2022-04-07 22:23:14
394,Bereda,43.2686,-7.5406,52.14,81,100,10.42,ES,overcast clouds,2022-04-07 22:23:14
395,Henties Bay,-22.116,14.2845,60.53,86,0,6.33,NA,clear sky,2022-04-07 22:23:15
396,Kahului,20.8947,-156.47,84.22,45,40,26.46,US,scattered clouds,2022-04-07 22:19:15
397,Konya,38.1667,32.5,53.08,50,9,19.08,TR,clear sky,2022-04-07 22:23:15
398,Knysna,-34.0363,23.0471,55.09,80,50,4.14,ZA,scattered clouds,2022-04-07 22:23:16
399,San Borja,-14.8167,-66.85,81.99,77,24,2.82,BO,light rain,2022-04-07 22:23:16
400,Ixtapa,20.7,-105.2,76.23,69,40,14.97,MX,scattered clouds,2022-04-07 22:23:16
401,Blagoyevo,63.3667,47.9167,20.03,98,95,2.68,RU,overcast clouds,2022-04-07 22:23:17
402,Luau,-10.7073,22.2247,64.31,98,99,2.86,AO,light rain,2022-04-07 22:23:17
403,Igarka,67.4667,86.5833,-3.06,100,97,4.79,RU,overcast clouds,2022-04-07 22:23:17
404,Tahe,52.3333,124.7333,25.25,96,100,2.64,CN,light snow,2022-04-07 22:23:18
405,Katangli,51.7102,143.2326,27.1,79,100,8.12,RU,overcast clouds,2022-04-07 22:23:18
