City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
345,Matara,LK,80.53,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
349,Lorengau,PG,82.31,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
353,Acajutla,SV,86.77,scattered clouds,13.5928,-89.8275,Laureles
355,Sumbe,AO,80.6,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
356,Bowen,AU,75.69,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
357,Cukai,MY,76.28,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
358,Daru,PG,81.82,scattered clouds,-9.0763,143.2092,Daru Lodge
359,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Lindsey Hôtel
363,Impfondo,CG,87.71,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
364,Tecolutla,MX,78.93,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
367,Sambava,MG,78.62,light rain,-14.2667,50.1667,Melrose
371,Jatai,BR,84.56,clear sky,-17.8814,-51.7144,Hotel Califórnia
375,Brownsville,US,80.58,broken clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
376,Gorontalo,ID,76.24,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
377,Marang,MY,79.92,broken clouds,5.2056,103.2059,DBarakah Homestay
378,Alta Floresta,BR,85.35,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
379,Boa Vista,BR,86.56,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
381,Nuevitas,CU,79.83,clear sky,21.5453,-77.2644,Hotel Caonaba
384,Yiyang,CN,77.14,few clouds,28.5892,112.3283,Tongcheng International Hotel
388,Portobelo,PA,84.96,overcast clouds,9.55,-79.65,Scuba Portobelo
390,Faanui,PF,82.18,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
392,Bull Savanna,JM,81.64,few clouds,17.8868,-77.5902,Big Red's
398,Kisangani,CD,80.76,overcast clouds,0.5167,25.2,Grand Ramela Hotel
400,Villanueva,HN,86.04,few clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
401,Balsas,BR,89.4,clear sky,-7.5325,-46.0356,Novo Hotel
406,Bonthe,SL,87.53,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
408,Santa Cruz,BO,78.53,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
420,Iberia,US,75.2,overcast clouds,29.9502,-91.7507,back to back rv park
426,Yueyang,CN,76.68,few clouds,29.3333,113.0919,Delong Fortune Hotel
435,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
440,Benjamin Constant,BR,82.53,broken clouds,-4.3831,-70.0311,CASA AVALIADA
441,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
442,Kapoeta,SS,84.36,light rain,4.7717,33.5903,Eastgate Hotel
443,Acapulco,MX,83.64,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
451,Hithadhoo,MV,84.45,few clouds,-0.6,73.0833,Scoop Guest House
456,Labuhan,ID,80.1,scattered clouds,-6.8844,112.2051,DoubleFAG
458,Naliya,IN,82.0,scattered clouds,23.2667,68.8333,jadeja jayendrasinh
459,Santa Elena,EC,78.35,scattered clouds,-2.2333,-80.85,HOTEL CISNE II
460,Dhidhdhoo,MV,85.05,broken clouds,6.8833,73.1,Dhidhoo beach
465,Belmonte,BR,85.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
466,Honiara,SB,77.95,overcast clouds,-9.4333,159.95,Heritage Park Hotel
467,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
469,Booue,GA,86.45,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
472,Sokoni,TZ,83.79,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
474,Parit Raja,MY,76.03,overcast clouds,1.8681,103.1124,RG Grand Hotel
482,Nabire,ID,75.51,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
488,Cockburn Town,TC,76.46,few clouds,21.4612,-71.1419,Osprey Beach Hotel
491,Pangai,TO,81.73,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
497,Iguape,BR,78.35,broken clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
498,Minab,IR,84.0,scattered clouds,27.1467,57.0801,Bam campground
506,Mont-Dore,NC,79.0,clear sky,-22.2833,166.5833,GIte
507,Luwuk,ID,77.0,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
510,Midland,US,76.05,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
512,Namatanai,PG,79.68,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
513,Baghdad,IQ,89.51,clear sky,33.3406,44.4009,Baghdad Hotel
516,Port-Gentil,GA,81.91,few clouds,-0.7193,8.7815,Fengshui Residence
519,Valera,VE,83.5,broken clouds,9.3178,-70.6036,Hotel Camino Real
522,Turan,VN,78.78,broken clouds,16.0678,108.2208,Grand Mercure Danang
530,Odweyne,SO,87.39,broken clouds,9.4092,45.064,Eng Hiirey House
535,Manzanillo,CU,83.46,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
538,Guhagar,IN,81.05,scattered clouds,17.4842,73.1929,Hotel Seawinds
543,Auki,SB,76.93,broken clouds,-8.7676,160.7034,Auki Motel
545,Dalbandin,PK,88.0,few clouds,28.8947,64.4101,Sanjrani House
546,Sabha,LY,86.4,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
547,Santa Maria Do Suacui,BR,81.18,broken clouds,-18.1903,-42.4142,Hotel Vale Verde
548,Yarada,IN,84.52,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
550,Nueva Loja,EC,77.02,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
551,Maharajganj,IN,88.92,clear sky,27.1333,83.5667,Pt. Deen Dayal Hostel
556,Kadhan,PK,83.57,broken clouds,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
560,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
562,Samarai,PG,83.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
563,Chake Chake,TZ,83.98,scattered clouds,-5.2459,39.7666,Hotel Archipelago
568,Leticia,CO,82.45,broken clouds,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
570,Biak,ID,76.5,broken clouds,-0.9131,122.8766,Penginapan Kim
575,Sola,VU,81.23,clear sky,-13.8833,167.55,Leumerus Bungalows
578,Caravelas,BR,80.33,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
585,Tocache,PE,80.35,overcast clouds,-8.1842,-76.5125,Residencial JATER
586,Luganville,VU,78.71,few clouds,-15.5333,167.1667,The Espiritu Hotel
589,Santa Rosa,PH,83.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
593,Bambui,BR,83.44,few clouds,-20.0064,-45.9769,Paulinelli Palace Hotel
601,Trincomalee,LK,83.43,overcast clouds,8.5711,81.2335,Welcombe Hotel
608,Siocon,PH,77.5,overcast clouds,7.7061,122.1353,ABS Hotel
612,Pitimbu,BR,84.49,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
614,Kokoda,PG,75.94,overcast clouds,-8.8785,147.7407,Daito Guest House
615,Manggar,ID,80.87,broken clouds,-2.8833,108.2667,Guest Hotel
616,Tagusao,PH,79.59,overcast clouds,9.1924,117.8141,Green Villa beach resort
617,Kilindoni,TZ,83.61,scattered clouds,-7.9139,39.6668,Bustani B&B
620,Banmankhi,IN,82.74,clear sky,25.8833,87.1833,AMITESH KUMAR SINGH
621,Kavaratti,IN,83.95,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
