City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
107,Butaritari,3.0707,172.7902,79.63,80,76,5.79,KI,light rain,2022-04-11 14:55:10
108,Yulara,-25.2406,130.9889,71.44,23,16,6.91,AU,few clouds,2022-04-11 14:55:10
109,New Norfolk,-42.7826,147.0587,51.89,66,52,1.01,AU,broken clouds,2022-04-11 14:55:10
110,Aklavik,68.2191,-135.0107,-11.58,96,46,2.21,CA,scattered clouds,2022-04-11 14:55:11
111,Finschhafen,-6.6024,147.8681,79.88,81,25,2.91,PG,scattered clouds,2022-04-11 14:55:11
112,Coihaique,-45.5752,-72.0662,48.81,81,75,6.91,CL,light rain,2022-04-11 14:53:02
113,Port Hardy,50.6996,-127.4199,41.0,69,20,9.22,CA,few clouds,2022-04-11 14:55:12
114,Bilma,18.6853,12.9164,106.32,3,5,6.58,NE,clear sky,2022-04-11 14:55:12
115,Hamilton,39.1834,-84.5333,62.69,75,100,17.27,US,moderate rain,2022-04-11 14:51:37
116,Qaanaaq,77.484,-69.3632,-2.22,73,54,4.45,GL,broken clouds,2022-04-11 14:51:38
117,Normandin,48.8333,-72.5321,35.91,64,15,5.75,CA,few clouds,2022-04-11 14:55:13
118,Zhicheng,30.2956,111.5047,75.25,54,4,5.39,CN,clear sky,2022-04-11 14:55:13
119,Vardo,70.3705,31.1107,33.53,98,100,9.86,NO,light snow,2022-04-11 14:55:14
120,Chapais,49.7834,-74.8492,29.98,90,83,4.09,CA,broken clouds,2022-04-11 14:55:14
121,Dillon,34.4166,-79.3712,72.14,44,2,8.25,US,clear sky,2022-04-11 14:55:00
122,Gangtok,27.3333,88.6167,59.99,79,58,1.21,IN,broken clouds,2022-04-11 14:55:14
123,Barstow,34.8986,-117.0228,56.07,37,41,27.87,US,scattered clouds,2022-04-11 14:55:15
124,Oussouye,12.485,-16.5469,95.18,26,35,12.71,SN,scattered clouds,2022-04-11 14:55:15
125,Saiha,22.4833,92.9667,68.68,94,88,3.76,IN,overcast clouds,2022-04-11 14:55:15
126,Mbalmayo,3.5167,11.5,80.92,52,83,2.66,CM,light rain,2022-04-11 14:55:16
127,Sembe,1.6481,14.5806,81.88,71,99,3.67,CG,light rain,2022-04-11 14:55:16
128,Ducheng,23.2373,111.5317,76.37,54,0,2.44,CN,clear sky,2022-04-11 14:55:16
129,Buique,-8.6231,-37.1558,88.12,35,32,5.77,BR,scattered clouds,2022-04-11 14:52:09
130,Saurimo,-9.6608,20.3916,84.52,61,75,8.05,AO,broken clouds,2022-04-11 14:55:17
131,Talcahuano,-36.7167,-73.1167,51.48,76,0,3.44,CL,clear sky,2022-04-11 14:55:17
132,Santa Luzia,-19.7697,-43.8514,84.34,59,75,9.22,BR,broken clouds,2022-04-11 14:55:18
133,Along,28.1667,94.7667,65.95,93,1,0.74,IN,clear sky,2022-04-11 14:55:18
134,Richards Bay,-28.783,32.0377,68.14,95,100,4.18,ZA,light rain,2022-04-11 14:55:18
135,Carnarvon,-24.8667,113.6333,69.87,64,40,16.11,AU,scattered clouds,2022-04-11 14:55:19
136,Bongandanga,1.5,21.05,89.67,40,89,0.69,CD,overcast clouds,2022-04-11 14:55:19
137,Yellowknife,62.456,-114.3525,9.12,72,100,10.36,CA,light snow,2022-04-11 14:53:11
138,Krasnyy Chikoy,50.3643,108.7512,28.04,67,100,0.27,RU,overcast clouds,2022-04-11 14:55:20
139,Nikolskoye,59.7035,30.7861,46.87,77,100,5.3,RU,overcast clouds,2022-04-11 14:56:20
140,Buala,-8.145,159.5921,79.77,81,87,5.28,SB,overcast clouds,2022-04-11 14:56:20
141,Longyearbyen,78.2186,15.6401,10.24,56,20,12.66,SJ,few clouds,2022-04-11 14:56:21
142,Tadine,-21.55,167.8833,76.19,83,96,4.59,NC,overcast clouds,2022-04-11 14:56:21
143,Meulaboh,4.1363,96.1285,76.82,89,93,8.55,ID,overcast clouds,2022-04-11 14:56:21
144,Olyka,50.7186,25.8125,45.93,53,95,12.77,UA,overcast clouds,2022-04-11 14:56:22
145,Ponta Do Sol,32.6667,-17.1,68.0,63,100,14.99,PT,overcast clouds,2022-04-11 14:56:22
146,Morros,-9.4467,-46.3003,92.64,42,7,1.63,BR,clear sky,2022-04-11 14:56:22
147,Marfino,55.7028,37.3822,39.15,86,75,13.42,RU,broken clouds,2022-04-11 14:56:22
148,Isangel,-19.55,169.2667,79.11,79,14,6.76,VU,few clouds,2022-04-11 14:56:23
149,Mawlaik,23.6333,94.4167,76.73,65,100,3.22,MM,overcast clouds,2022-04-11 14:56:23
150,Tabas,33.5959,56.9244,79.56,13,73,6.35,IR,broken clouds,2022-04-11 14:56:24
151,Sulangan,11.1373,123.7228,78.33,95,100,27.67,PH,moderate rain,2022-04-11 14:56:24
152,Talnakh,69.4865,88.3972,-4.9,94,6,5.91,RU,clear sky,2022-04-11 14:56:24
153,Kirando,-7.4167,30.6,78.91,68,22,1.23,TZ,few clouds,2022-04-11 14:56:25
154,Olinda,-8.0089,-34.8553,85.73,54,40,6.91,BR,scattered clouds,2022-04-11 14:56:25
155,Westport,41.1415,-73.3579,54.25,47,0,5.99,US,clear sky,2022-04-11 14:53:17
156,Okhotsk,59.3833,143.3,12.79,94,92,3.29,RU,overcast clouds,2022-04-11 14:56:26
157,Plouzane,48.3833,-4.6167,61.12,69,0,14.97,FR,clear sky,2022-04-11 14:56:26
158,Pisco,-13.7,-76.2167,72.01,64,0,11.5,PE,clear sky,2022-04-11 14:56:27
159,Kunashak,55.7032,61.5498,54.12,98,98,9.04,RU,overcast clouds,2022-04-11 14:56:27
160,Louis Trichardt,-23.0439,29.9032,71.49,64,64,4.99,ZA,broken clouds,2022-04-11 14:56:27
161,High Level,58.5169,-117.136,12.31,79,100,12.66,CA,overcast clouds,2022-04-11 14:56:28
162,Manicore,-5.8092,-61.3003,87.75,56,99,3.44,BR,overcast clouds,2022-04-11 14:56:28
163,Bafq,31.6128,55.4107,81.09,6,75,6.89,IR,broken clouds,2022-04-11 14:56:29
164,Gboko,7.3179,8.9951,100.33,28,16,1.45,NG,few clouds,2022-04-11 14:56:29
165,Shimoda,34.6667,138.95,61.11,87,100,8.16,JP,overcast clouds,2022-04-11 14:56:29
166,Miraflores,19.2167,-98.8083,63.25,47,97,2.04,MX,overcast clouds,2022-04-11 14:56:30
167,Victoria,22.2855,114.1577,80.19,80,0,5.99,HK,clear sky,2022-04-11 14:55:49
168,Lake Charles,30.2131,-93.2044,70.99,91,100,12.66,US,mist,2022-04-11 14:54:35
169,Mali,12.079,-12.2982,91.13,11,54,6.53,GN,broken clouds,2022-04-11 14:56:30
170,Flinders,-34.5833,150.8552,64.18,88,100,5.01,AU,overcast clouds,2022-04-11 14:54:06
171,Broken Hill,-31.95,141.4333,67.71,52,0,9.22,AU,clear sky,2022-04-11 14:56:31
172,Santo Estevao,-12.4303,-39.2514,92.17,38,10,5.28,BR,clear sky,2022-04-11 14:56:31
173,Ushtobe,45.2514,77.9838,59.68,24,100,20.45,KZ,overcast clouds,2022-04-11 14:56:31
174,Pandan,14.0453,124.1694,79.59,89,100,15.35,PH,moderate rain,2022-04-11 14:56:32
175,Luderitz,-26.6481,15.1594,73.56,53,5,4.34,NA,clear sky,2022-04-11 14:53:12
176,Kuandian,40.7286,124.7847,56.91,91,100,2.84,CN,moderate rain,2022-04-11 14:56:32
177,Nizwa,22.9333,57.5333,90.43,6,0,9.55,OM,clear sky,2022-04-11 14:56:33
178,Atherton,53.5237,-2.4935,61.29,44,100,10.0,GB,overcast clouds,2022-04-11 14:56:11
179,Vila Velha,-20.3297,-40.2925,85.95,73,40,16.11,BR,scattered clouds,2022-04-11 14:54:57
180,Calama,-22.4667,-68.9333,61.29,16,0,11.5,CL,clear sky,2022-04-11 14:56:33
181,Mar Del Plata,-38.0023,-57.5575,69.1,99,100,9.22,AR,overcast clouds,2022-04-11 14:55:12
182,Asosa,10.0667,34.5333,71.67,60,95,3.44,ET,overcast clouds,2022-04-11 14:56:34
183,Lavrentiya,65.5833,-171.0,13.28,100,98,4.36,RU,overcast clouds,2022-04-11 14:56:34
184,Shatsk,54.0258,41.7119,61.32,63,100,9.55,RU,overcast clouds,2022-04-11 14:57:35
